iter	Logloss
0	0.6734255104
1	0.6559469624
2	0.6412494324
3	0.6261181793
4	0.6127912453
5	0.6013172684
6	0.5884426665
7	0.5764748963
8	0.565115216
9	0.555614565
10	0.5462651036
11	0.5379654242
12	0.5304202042
13	0.5238502707
14	0.5166586385
15	0.5104356799
16	0.5045862171
17	0.4999595015
18	0.4944568178
19	0.4894439629
20	0.4850081855
21	0.4798204887
22	0.4762539762
23	0.4719548501
24	0.4682649864
25	0.4644240377
26	0.4623462289
27	0.4598425315
28	0.4576716898
29	0.4547812773
30	0.4520471225
31	0.4493736391
32	0.4471141402
33	0.4454515571
34	0.4432943194
35	0.441902801
36	0.4400677991
37	0.4382865937
38	0.4369309541
39	0.4355346048
40	0.4341692799
41	0.4327949725
42	0.4314640025
43	0.4302262662
44	0.428793327
45	0.4275795955
46	0.4270249299
47	0.4266057751
48	0.4254240875
49	0.4245100974
50	0.423194115
51	0.4218620495
52	0.4208067437
53	0.4197685493
54	0.4189765211
55	0.4182397437
56	0.4174054022
57	0.4166252352
58	0.4159981326
59	0.4154476113
60	0.4152253476
61	0.4147543404
62	0.4142160667
63	0.413458633
64	0.412826369
65	0.4121551685
66	0.4117776231
67	0.4111431336
68	0.4107484043
69	0.4102985598
70	0.4100912808
71	0.4094471822
72	0.4090070834
73	0.4085269592
74	0.4079537206
75	0.4076656334
76	0.407159432
77	0.40653576
78	0.4060767867
79	0.4058584233
80	0.4056181071
81	0.4050764207
82	0.4045742129
83	0.4044260638
84	0.4039379453
85	0.4033946037
86	0.4030373132
87	0.4024067576
88	0.4020375477
89	0.4016878704
90	0.4013535537
91	0.4011137237
92	0.4006693901
93	0.4002815299
94	0.4000708567
95	0.3996225906
96	0.3994625484
97	0.3990894115
98	0.3990281324
99	0.3987263788
100	0.3984424462
101	0.3980485876
102	0.3979656494
103	0.3977512911
104	0.3977093764
105	0.397186238
106	0.3969919449
107	0.3969551754
108	0.3968230776
109	0.3965429863
110	0.3965397758
111	0.3965276063
112	0.3963358129
113	0.3962000774
114	0.396063496
115	0.3958641538
116	0.3958419227
117	0.395644917
118	0.395448033
119	0.3953237345
120	0.3949828416
121	0.3946746121
122	0.3946640491
123	0.3945299859
124	0.3943909788
125	0.3943330165
126	0.3941680296
127	0.3941308383
128	0.3939483034
129	0.3937820919
130	0.3937363426
131	0.3935829478
132	0.3932465039
133	0.3929774598
134	0.3928718242
135	0.392805706
136	0.3927139762
137	0.3925828591
138	0.3924502659
139	0.3924326134
140	0.3923904654
141	0.3921645278
142	0.3920280757
143	0.3919468633
144	0.3918024426
145	0.3918017115
146	0.3915930245
147	0.3915170177
148	0.3913992634
149	0.3910627956
150	0.3909285321
151	0.3909277485
152	0.3909266902
153	0.3907142274
154	0.390372968
155	0.3903467991
156	0.3903338708
157	0.3901463074
158	0.38987787
159	0.3895653406
160	0.3893749562
161	0.3892904328
162	0.3892904275
163	0.3890849407
164	0.3890112699
165	0.3888107082
166	0.3886699705
167	0.3884978729
168	0.3884648482
169	0.3882593475
170	0.3880831341
171	0.3880322156
172	0.3879850607
173	0.3879523764
174	0.3877189444
175	0.3876765422
176	0.3876088852
177	0.3875399427
178	0.3873623149
179	0.3873621796
180	0.3873621697
181	0.3872007288
182	0.3871955485
183	0.3871709212
184	0.3867589791
185	0.3864822051
186	0.3862967802
187	0.3861436147
188	0.3861435115
189	0.3861426253
190	0.3861213423
191	0.3860865117
192	0.3859923023
193	0.3859617939
194	0.3858962559
195	0.3858014509
196	0.3856042742
197	0.3855940385
198	0.3853469462
199	0.3850655326
200	0.3850655031
201	0.3849950853
202	0.3848743282
203	0.3848171849
204	0.3848171761
205	0.3847073299
206	0.3847073112
207	0.3847016132
208	0.3845741526
209	0.3843943632
210	0.3843773262
211	0.3843715949
212	0.3842483216
213	0.384128131
214	0.3840881644
215	0.3839087952
216	0.3837246198
217	0.3836005872
218	0.3835724148
219	0.3835723647
220	0.3835360911
221	0.3833891072
222	0.383249796
223	0.3832497949
224	0.3830670557
225	0.3829268279
226	0.382899513
227	0.3827827796
228	0.3827376339
229	0.3826835014
230	0.3824022383
231	0.3822634498
232	0.3822542716
233	0.3822375395
234	0.3821935848
235	0.3821684181
236	0.3821160452
237	0.3820691717
238	0.38190038
239	0.3819003656
240	0.3818271585
241	0.381778377
242	0.3816820916
243	0.3813569542
244	0.3813569471
245	0.3812784125
246	0.3811688178
247	0.380949515
248	0.3807454368
249	0.3803604226
250	0.3802980634
251	0.3802825644
252	0.3801783293
253	0.3799330766
254	0.3797363062
255	0.3797363056
256	0.3794592412
257	0.3792030091
258	0.3791683941
259	0.3790533615
260	0.3789553529
261	0.3789551321
262	0.3789550308
263	0.3789549727
264	0.3788732208
265	0.3788106807
266	0.3786534072
267	0.3786533607
268	0.3785017785
269	0.3782580865
270	0.3780263121
271	0.3779020523
272	0.3778445737
273	0.3775538
274	0.3775537581
275	0.3774723863
276	0.3774564333
277	0.3774547305
278	0.3773902988
279	0.3773754056
280	0.3772814778
281	0.3772006991
282	0.3771660722
283	0.3769179654
284	0.3768846745
285	0.3768474945
286	0.3766572284
287	0.3766059341
288	0.3764023686
289	0.3763682748
290	0.3761752375
291	0.3760130742
292	0.3759724416
293	0.3759127754
294	0.3757498217
295	0.3756430576
296	0.3754102837
297	0.3751899414
298	0.3748648952
299	0.374739424
